Inference results by NN model
1st is strain parameter along x, 2nd is y, 3rd is z and last term is vth
strin_x    strain_y    strain_z    vth
-0.009   -0.02   -0.01  0.46995348
-0.009   -0.02   -0.009  0.4619776
-0.009   -0.02   -0.008  0.45402873
-0.009   -0.02   -0.007  0.44626653
-0.009   -0.02   -0.006  0.43913895
-0.009   -0.02   -0.005  0.43131262
-0.009   -0.02   -0.004  0.4240179
-0.009   -0.02   -0.003  0.41682988
-0.009   -0.02   -0.002  0.40953994
-0.009   -0.02   -0.001  0.40264273
-0.009   -0.02   0.0  0.3968802
-0.009   -0.02   0.001  0.39127493
-0.009   -0.02   0.002  0.3860873
-0.009   -0.02   0.003  0.38164216
-0.009   -0.02   0.004  0.37746072
-0.009   -0.02   0.005  0.37233698
-0.009   -0.02   0.006  0.3668455
-0.009   -0.02   0.007  0.36158288
-0.009   -0.02   0.008  0.3564164
-0.009   -0.02   0.009  0.3519019
-0.009   -0.02   0.01  0.3480841
-0.009   -0.02   0.011  0.34398222
-0.009   -0.02   0.012  0.33926123
-0.009   -0.02   0.013  0.3344907
-0.009   -0.02   0.014  0.3295285
-0.009   -0.02   0.015  0.32499748
-0.009   -0.02   0.016  0.3204493
-0.009   -0.02   0.017  0.31543696
-0.009   -0.02   0.018  0.31016922
-0.009   -0.02   0.019  0.30509478
-0.008   -0.02   -0.02  0.5518156
-0.008   -0.02   -0.019  0.5428344
-0.008   -0.02   -0.018  0.534203
-0.008   -0.02   -0.017  0.5253821
-0.008   -0.02   -0.016  0.5173773
-0.008   -0.02   -0.015  0.50912833
-0.008   -0.02   -0.014  0.50046253
-0.008   -0.02   -0.013  0.49170554
-0.008   -0.02   -0.012  0.48348778
-0.008   -0.02   -0.011  0.4749996
-0.008   -0.02   -0.01  0.46723586
-0.008   -0.02   -0.009  0.45954174
-0.008   -0.02   -0.008  0.45120144
-0.008   -0.02   -0.007  0.44356644
-0.008   -0.02   -0.006  0.4362297
-0.008   -0.02   -0.005  0.42852867
-0.008   -0.02   -0.004  0.42123735
-0.008   -0.02   -0.003  0.41395608
-0.008   -0.02   -0.002  0.40691316
-0.008   -0.02   -0.001  0.39989364
-0.008   -0.02   0.0  0.3941605
-0.008   -0.02   0.001  0.38874483
-0.008   -0.02   0.002  0.38359427
-0.008   -0.02   0.003  0.3803234
-0.008   -0.02   0.004  0.3761515
-0.008   -0.02   0.005  0.37035048
-0.008   -0.02   0.006  0.3648398
-0.008   -0.02   0.007  0.35982674
-0.008   -0.02   0.008  0.35488605
-0.008   -0.02   0.009  0.3504076
-0.008   -0.02   0.01  0.34652546
-0.008   -0.02   0.011  0.34242243
-0.008   -0.02   0.012  0.3379109
-0.008   -0.02   0.013  0.3333938
-0.008   -0.02   0.014  0.32864967
-0.008   -0.02   0.015  0.323766
-0.008   -0.02   0.016  0.3183969
-0.008   -0.02   0.017  0.31319273
-0.008   -0.02   0.018  0.30794966
-0.008   -0.02   0.019  0.303011
-0.007   -0.02   -0.02  0.5501618
-0.007   -0.02   -0.019  0.54138875
-0.007   -0.02   -0.018  0.53271246
-0.007   -0.02   -0.017  0.5238063
-0.007   -0.02   -0.016  0.51493
