Inference results by NN model
1st is strain parameter along x, 2nd is y, 3rd is z and last term is vth
strin_x    strain_y    strain_z    vth
-0.012   -0.02   -0.02  -0.39350045
-0.012   -0.02   -0.019  -0.39138782
-0.012   -0.02   -0.018  -0.38964826
-0.012   -0.02   -0.017  -0.38806432
-0.012   -0.02   -0.016  -0.3864549
-0.012   -0.02   -0.015  -0.3848878
-0.012   -0.02   -0.014  -0.3835016
-0.012   -0.02   -0.013  -0.38219708
-0.012   -0.02   -0.012  -0.3808276
-0.012   -0.02   -0.011  -0.37949735
-0.012   -0.02   -0.01  -0.37813282
-0.012   -0.02   -0.009  -0.37678048
-0.012   -0.02   -0.008  -0.37473202
-0.012   -0.02   -0.007  -0.37261027
-0.012   -0.02   -0.006  -0.37061495
-0.012   -0.02   -0.005  -0.36876714
-0.012   -0.02   -0.004  -0.36713463
-0.012   -0.02   -0.003  -0.36570805
-0.012   -0.02   -0.002  -0.36452717
-0.012   -0.02   -0.001  -0.36370897
-0.012   -0.02   0.0  -0.36242253
-0.012   -0.02   0.001  -0.3610351
-0.012   -0.02   0.002  -0.36000055
-0.012   -0.02   0.003  -0.3593346
-0.012   -0.02   0.004  -0.35870796
-0.012   -0.02   0.005  -0.35825166
-0.012   -0.02   0.006  -0.35843188
-0.012   -0.02   0.007  -0.3586694
-0.012   -0.02   0.008  -0.35863847
-0.012   -0.02   0.009  -0.3587833
-0.012   -0.02   0.01  -0.35894787
-0.012   -0.02   0.011  -0.3591569
-0.012   -0.02   0.012  -0.35897398
-0.012   -0.02   0.013  -0.3586768
-0.012   -0.02   0.014  -0.3585912
-0.012   -0.02   0.015  -0.3579741
-0.012   -0.02   0.016  -0.357441
-0.012   -0.02   0.017  -0.3570683
-0.012   -0.02   0.018  -0.35710794
-0.012   -0.02   0.019  -0.35718566
-0.011   -0.02   -0.02  -0.39308113
-0.011   -0.02   -0.019  -0.3908798
-0.011   -0.02   -0.018  -0.38904944
-0.011   -0.02   -0.017  -0.38782716
-0.011   -0.02   -0.016  -0.38660586
-0.011   -0.02   -0.015  -0.38508725
-0.011   -0.02   -0.014  -0.38377717
-0.011   -0.02   -0.013  -0.38246053
-0.011   -0.02   -0.012  -0.3811695
-0.011   -0.02   -0.011  -0.37971282
-0.011   -0.02   -0.01  -0.37834328
-0.011   -0.02   -0.009  -0.376961
-0.011   -0.02   -0.008  -0.37506098
-0.011   -0.02   -0.007  -0.3727002
-0.011   -0.02   -0.006  -0.37052616
-0.011   -0.02   -0.005  -0.3685366
-0.011   -0.02   -0.004  -0.36682928
-0.011   -0.02   -0.003  -0.3655033
-0.011   -0.02   -0.002  -0.36429584
-0.011   -0.02   -0.001  -0.36348867
-0.011   -0.02   0.0  -0.36199802
-0.011   -0.02   0.001  -0.36046672
-0.011   -0.02   0.002  -0.3595897
-0.011   -0.02   0.003  -0.35882664
-0.011   -0.02   0.004  -0.3582443
-0.011   -0.02   0.005  -0.3578625
-0.011   -0.02   0.006  -0.35824323
-0.011   -0.02   0.007  -0.3585459
-0.011   -0.02   0.008  -0.35868293
-0.011   -0.02   0.009  -0.35883385
-0.011   -0.02   0.01  -0.35877955
-0.011   -0.02   0.011  -0.3586585
-0.011   -0.02   0.012  -0.35839444
-0.011   -0.02   0.013  -0.357876
-0.011   -0.02   0.014  -0.3574975
-0.011   -0.02   0.015  -0.35700977
-0.011   -0.02   0.016  -0.3565868
-0.011   -0.02   0.017  -0.35645992
-0.011   -0.02   0.018  -0.35641474
-0.011   -0.02   0.019  -0.35654956
-0.01   -0.02   -0.02  -0.3926906
-0.01   -0.02   -0.019  -0.39050674
-0.01   -0.02   -0.018  -0.38870937
-0.01   -0.02   -0.017  -0.3872633
-0.01   -0.02   -0.016  -0.38617468
-0.01   -0.02   -0.015  -0.38506693
-0.01   -0.02   -0.014  -0.38392156
-0.01   -0.02   -0.013  -0.38260162
-0.01   -0.02   -0.012  -0.38122028
-0.01   -0.02   -0.011  -0.37972376
-0.01   -0.02   -0.01  -0.378232
-0.01   -0.02   -0.009  -0.376818
-0.01   -0.02   -0.008  -0.3747396
-0.01   -0.02   -0.007  -0.37228644
-0.01   -0.02   -0.006  -0.3701413
-0.01   -0.02   -0.005  -0.3681541
-0.01   -0.02   -0.004  -0.3666451
-0.01   -0.02   -0.003  -0.3652127
-0.01   -0.02   -0.002  -0.36400485
-0.01   -0.02   -0.001  -0.36288774
-0.01   -0.02   0.0  -0.36147064
-0.01   -0.02   0.001  -0.3600062
-0.01   -0.02   0.002  -0.3592462
-0.01   -0.02   0.003  -0.35843283
-0.01   -0.02   0.004  -0.35799527
-0.01   -0.02   0.005  -0.35771042
-0.01   -0.02   0.006  -0.3580233
-0.01   -0.02   0.007  -0.35845083
-0.01   -0.02   0.008  -0.35870987
-0.01   -0.02   0.009  -0.35862997
-0.01   -0.02   0.01  -0.35839203
-0.01   -0.02   0.011  -0.358248
-0.01   -0.02   0.012  -0.35791677
-0.01   -0.02   0.013  -0.35732916
-0.01   -0.02   0.014  -0.35658282
-0.01   -0.02   0.015  -0.35608977
-0.01   -0.02   0.016  -0.3559737
-0.01   -0.02   0.017  -0.3559
-0.01   -0.02   0.018  -0.35600877
-0.01   -0.02   0.019  -0.3559421
-0.009   -0.02   -0.02  -0.3924836
-0.009   -0.02   -0.019  -0.39048952
-0.009   -0.02   -0.018  -0.3886274
-0.009   -0.02   -0.017  -0.38710308
